appid,name,genres,tags,release_date,is_free,short_description
2111870,Section 13,Action|Adventure|Indie,Dark|Top-Down Shooter|Action Roguelike|Twin Stick Shooter|Zombies|Roguelite|Shooter|PvE|Adventure|Survival|Singleplayer|Combat|Action|Roguelike|Atmospheric|Co-op|Top-Down|3D|Supernatural|Isometric,"May 26, 2025",False,"Unravel a thrilling sci-fi mystery in this action-packed twin-stick roguelite shooter. Select your load-out, stack up temporary and persistent upgrades, and delve into the depths of a subterranean base, either alone or in a group of up to 3 players."
1576620,Mission Mars,Action,Action|FPS|Singleplayer|First-Person|Shooter|Fast-Paced|Open World|Old School|3D|Aliens|Mars,"May 14, 2021",False,Mission Mars is an action FPS inspired by the shooters of the '90s. The game features an intense single player experience set on Mars in the 22nd century.
1693060,Magic Thief,Indie,Puzzle|Procedural Generation|Magic|Atmospheric|Logic|PvE|Isometric|Medieval|Singleplayer|Top-Down|3D|Fantasy|Indie|Mystery Dungeon|Casual|Idler,"Feb 27, 2022",False,"Become a Magic Thief in a new reinterpretation of the classic minesweeper game. Immerse yourself in the world of the magical Middle Ages, open chests, use charms and avoid encounters with mysterious crystals!"
2491650,Chess! Playtest,,Strategy|Chess|Board Game|Realistic|Tabletop|Multiplayer|3D|Puzzle|Casual|Artificial Intelligence|Asynchronous Multiplayer|Cinematic|Education|Family Friendly|Relaxing|Logic|Atmospheric|Sports|Modern|Simulation,"Jun 27, 2023",False,
2050540,Pocket Clothier,Casual|Indie|Simulation|Strategy,Simulation|Casual|Strategy|Colony Sim|Life Sim|Pixel Graphics|Cute|RTS|2D|Building|Retro|Indie|Management|Economy|Singleplayer|Resource Management|Real-Time with Pause,"Jul 24, 2022",False,A clothing shop management sim. Go from quaint corner shop to world-class brand!
3760310,Heart of Gaia,Action|Adventure|Indie|RPG,Action RPG|Action-Adventure|Fantasy|RPG|Party-Based RPG|Lore-Rich|2D|Action|Open World|Exploration|Souls-like|Hack and Slash|Singleplayer|Anime|Steampunk|Medieval|Class-Based|Adventure|Indie,"Dec 19, 2025",False,"Lead the resistance against an ancient dark order that seeks to awaken an ancient evil and plunge Gaia into chaos. Explore a vast steampunk fantasy world and face formidable opponents in this action RPG, featuring real-time character switching and dynamic combat."
1968400,Where The Stars Brought Us,Casual,Casual|Visual Novel|Simulation|Singleplayer|Multiple Endings|2D|Choices Matter|Anime|Fantasy,"Dec 14, 2022",False,"“Where The Stars Brought Us” is a visual novel game based in Kodachi, Japan and follows the &quot;adventures&quot; of Ryo Yung. During his story, he will learn that you can get everything you want in life."
1828550,Computer Physics Simulator 2023,Action|Adventure|Indie|Simulation,Action|Puzzle|3D|Adventure|Simulation|Indie|Realistic|Logic|Singleplayer|Casual|Software|Sandbox|Shooter|Immersive Sim|Exploration|First-Person|Atmospheric|Family Friendly|Memes|Education,"Oct 24, 2022",False,"Computer Physics Simulator 2023 - sequel of CPS 2020, innovation simulator about construct PC with physics of parts. There you can using operating system, using security camera(for watch street), listen music, watching videos and photos, play in games of different eras of game industry."
1735410,Pale Roots,Casual|Simulation|Strategy,Simulation|Horror|Resource Management|Strategy|Point & Click|Physics|Capitalism|Dark|Atmospheric|Difficult|Lovecraftian|Story Rich|Choices Matter|Puzzle|Casual|Mystery|2D|Visual Novel|Singleplayer|RPG,Coming soon,False,Work. Earn money. Pay for survival. Speak with crazy characters as tragedy unfolds. You have sixteen weeks before the town ends.
2249970,Umichan Sentoryu,Adventure|Casual|Indie,,"Jul 26, 2024",False,"In Umichan Sentoryu, you will experience the thrill of running a brothel cafe as Carl, a struggling businessman on hard times. This anime adult visual novel game offers a comedic and lighthearted story with tons of sexual situations!"
